WT1_H3K4me3	WT2_H3K4me3	WT1_H3K27me3	WT2_H3K27me3	K4	K27	cluster	dis
Gm2926	0.7841	0.9351	2.6154	2.2274	0.8596	2.4214	4	1.1323
Gm43347	0.2702	0.3573	0.9855	1.4678	0.3138	1.2267	4	1.1323
Gm12601	0.1865	0.434	0.9855	1.5296	0.3103	1.2575	4	1.1323
Runx2os2	1.5489	1.4797	2.147	2.3007	1.5143	2.2238	4	1.1324
Gm43097	1.6938	1.5675	1.3231	1.1884	1.6307	1.2557	4	1.1324
Gm26314	0.3505	0.6745	0.8867	2.2461	0.5125	1.5664	4	1.1325
Gm22847	1.5489	1.729	2.0594	2.0796	1.639	2.0695	4	1.1327
Gm17205	0.4265	0.3161	0.8867	1.4988	0.3713	1.1928	4	1.1327
Gm42425	1.7828	1.6341	1.9415	1.8307	1.7085	1.8861	4	1.1328
Gm5561	1.3098	1.1551	0.8351	1.0036	1.2324	0.9194	4	1.1328
Mir188	0.229	0.5763	0.8351	1.7803	0.4026	1.3077	4	1.1328
Mir6922	1.8258	1.6503	1.5331	1.7933	1.738	1.6632	4	1.133
Gm17981	0.8408	0.7058	0.6672	1.1686	0.7733	0.9179	4	1.1332
Gm8101	1.6471	1.7133	1.1852	1.5145	1.6802	1.3499	4	1.1335
Gm23857	0.2702	0.6745	0.7816	1.4678	0.4723	1.1247	4	1.1335
Gm16057	0.2702	0.3161	1.0321	1.4515	0.2932	1.2418	4	1.1338
Gm37218	0.6003	0.9351	2.3454	2.5079	0.7677	2.4267	4	1.1339
Gm37691	0.4988	0.8536	2.4441	2.3445	0.6762	2.3943	4	1.1339
Gm14010	1.739	1.7442	1.6429	1.891	1.7416	1.767	4	1.1342
Gm22698	0.5331	0.6425	2.3821	2.3618	0.5878	2.3719	4	1.1344
Olfr535	0.1865	0.3573	1.0996	1.419	0.2719	1.2593	4	1.1344
AC099934.7	0.8123	0.987	0.8082	0.913	0.8996	0.8606	4	1.1346
Gm8241	1.6149	1.4797	2.3268	1.9605	1.5473	2.1437	4	1.1348
Gm28515	0.9214	1.0854	2.5922	2.2827	1.0034	2.4374	4	1.1349
Aldh1a1	0.2702	0.2327	1.342	1.2259	0.2514	1.2839	4	1.1352
Gm15166	0.3505	0.542	0.7536	1.715	0.4463	1.2343	4	1.1355
Ccdc160	1.3294	1.774	1.9042	2.3445	1.5517	2.1244	4	1.1356
Cngb1	0.6323	0.5763	2.5524	2.1207	0.6043	2.3365	4	1.1358
Gm16569	0.2702	0.2327	1.2654	1.2815	0.2514	1.2735	4	1.1359
Wfdc8	0.6323	0.5069	2.3363	2.3788	0.5696	2.3575	4	1.1359
Gm9803	0.8953	1.037	0.7251	1.0036	0.9662	0.8643	4	1.1359
Gm26129	0.9471	0.6745	0.7816	1.0036	0.8108	0.8926	4	1.1359
Gm44816	1.4792	1.4238	0.9123	1.1686	1.4515	1.0405	4	1.136
Gm13277	1.206	1.4238	1.1217	0.8164	1.3149	0.969	4	1.136
Fsbp	1.6149	1.461	1.0552	1.1884	1.538	1.1218	4	1.136
Lrit1	0.1414	0.3161	1.4319	1.2449	0.2288	1.3384	4	1.1361
Olfr315	0.0963	0.434	1.4319	1.1686	0.2651	1.3003	4	1.1361
AC154433.1	0.7553	1.0122	2.4699	2.4367	0.8838	2.4533	4	1.1364
Tecta	0.2702	0.4709	2.308	2.069	0.3706	2.1885	4	1.1364
AC156025.3	0.1865	0.542	2.2397	2.1207	0.3643	2.1802	4	1.1365
Gm8783	0.2702	0.275	1.5811	1.0881	0.2726	1.3346	4	1.1367
Ceacam1	1.2892	1.8032	1.2054	1.129	1.5462	1.1672	4	1.1368
Txndc2	1.4065	1.5331	2.2984	2.2461	1.4698	2.2722	4	1.1369
Gm45764	0.3115	0.3962	2.308	2.0268	0.3538	2.1674	4	1.1371
BC049352	0.6323	0.7664	2.5117	2.3095	0.6993	2.4106	4	1.1375
Gm1965	0.6645	0.5069	2.3173	2.4122	0.5857	2.3648	4	1.1375
Gm44090	0.7553	0.8254	2.409	2.4847	0.7903	2.4468	4	1.1375
4933414I15Rik	0.6645	0.7364	2.5763	2.2088	0.7004	2.3926	4	1.1377
Etd	0.1414	0.5069	0.9613	1.8057	0.3242	1.3835	4	1.1377
Gm4321	0.0482	0.3962	1.3785	1.3346	0.2222	1.3565	4	1.1377
A330102I10Rik	1.184	1.4797	2.3173	2.4038	1.3319	2.3606	4	1.1379
Gm11681	1.5316	1.3663	2.373	2.1603	1.4489	2.2666	4	1.138
Gm38392	0.6645	0.9613	0.7251	1.0461	0.8129	0.8856	4	1.138
Krt79	1.3685	1.3465	2.4179	2.2738	1.3575	2.3459	4	1.138
2810404F17Rik	0.9471	0.8813	2.6306	2.2182	0.9142	2.4244	4	1.138
Gm12569	0.0963	0.3161	1.8659	1.3522	0.2062	1.6091	4	1.1382
Gm44981	1.6627	1.8319	1.7862	1.7677	1.7473	1.7769	4	1.1383
Gm44932	0.2702	0.2327	1.3606	1.2073	0.2514	1.284	4	1.1383
Gm27857	1.0229	1.4425	0.7536	1.129	1.2327	0.9413	4	1.1385
6030466F02Rik	0.9471	0.7664	2.5685	2.2916	0.8567	2.4301	4	1.1386
Gm24103	1.0704	1.0854	0.5753	1.2992	1.0779	0.9373	4	1.1387
AC132336.1	1.1622	0.9084	0.8867	0.8655	1.0353	0.8761	4	1.1391
Gfral	0.229	0.275	1.0772	1.7803	0.252	1.4288	4	1.1393
Hrnr	1.269	1.4977	0.7816	1.2449	1.3834	1.0132	4	1.1393
Dynap	0.8123	0.8813	0.9123	0.8164	0.8468	0.8643	4	1.1394
Gm25246	0.6323	0.8536	0.6069	2.0796	0.7429	1.3433	4	1.1395
Gm38095	0.7553	0.7364	2.5117	2.3445	0.7459	2.4281	4	1.1396
Gm9109	0.3505	0.3962	0.8867	1.9605	0.3733	1.4236	4	1.1399
Gm27699	0.4626	0.434	2.373	2.1702	0.4483	2.2716	4	1.1401
Tpt1-ps3	0.6003	0.5069	2.5363	2.069	0.5536	2.3027	4	1.1403
AC166165.2	0.1865	0.4709	2.2497	2.0268	0.3287	2.1383	4	1.1404
Arrdc5	1.9073	1.4049	1.2654	1.5748	1.6561	1.4201	4	1.1406
Gm23559	1.4065	1.1551	0.7816	1.129	1.2808	0.9553	4	1.1406
Gm42763	0.8123	1.1776	0.6969	1.0676	0.9949	0.8823	4	1.1407
Tmem269	1.0229	0.8813	2.5117	2.3956	0.9521	2.4537	4	1.1408
Gm14559	0.1414	0.434	1.0772	1.9829	0.2877	1.5301	4	1.1408
Prf1	0.5331	0.7664	2.4441	2.3533	0.6497	2.3987	4	1.1409
Spta1	0.5331	1.2437	0.8608	0.9811	0.8884	0.9209	4	1.1409
Gm23893	0.1865	0.275	1.3045	1.2992	0.2308	1.3019	4	1.1409
AC118476.2	1.269	1.3265	2.5524	2.1506	1.2978	2.3515	4	1.141
Mir6945	1.7242	1.6178	2.1147	1.8307	1.671	1.9727	4	1.1411
Ghrl	0.9214	1.037	0.7536	0.959	0.9792	0.8563	4	1.1411
Fcrls	1.8115	1.6341	1.8789	1.8432	1.7228	1.8611	4	1.1412
Gm14867	0.5666	0.434	0.6969	1.7018	0.5003	1.1993	4	1.1415
CT025619.4	1.0229	0.987	2.4782	2.4447	1.0049	2.4614	4	1.1415
Gm12244	0.6323	0.6745	2.4265	2.3871	0.6534	2.4068	4	1.1415
Gm22428	0.8408	1.1776	0.543	1.4027	1.0092	0.9729	4	1.1416
Fgg	0.3505	0.5069	2.4441	1.9829	0.4287	2.2135	4	1.1416
Ern2	0.6003	0.5763	2.5445	2.1306	0.5883	2.3375	4	1.1417
2610020F03Rik	1.1401	1.3063	0.7251	1.109	1.2232	0.9171	4	1.142
Gm24581	0.5331	1.0614	0.8867	0.913	0.7972	0.8999	4	1.1422
Krt13	1.0704	1.3063	2.5842	2.2088	1.1883	2.3965	4	1.1422
AC122542.1	0.8123	1.0614	2.5117	2.4038	0.9369	2.4578	4	1.1422
Heatr4	1.4065	1.4238	2.4441	2.1506	1.4152	2.2973	4	1.1423
Gm14515	0.4265	0.7958	1.0772	2.5385	0.6112	1.8079	4	1.1424
2310081O03Rik	1.7685	1.6178	2.0594	1.6745	1.6931	1.8669	4	1.1424
AC167017.1	0.6323	0.6425	2.3912	2.4122	0.6374	2.4017	4	1.1424
Gm22394	0.7841	0.7058	2.5763	2.2461	0.7449	2.4112	4	1.1425
Gm4951	1.5316	1.2648	0.9123	1.109	1.3982	1.0106	4	1.1426
Vmo1	1.206	0.987	2.3363	2.5385	1.0965	2.4374	4	1.1429
Gm24917	1.0468	1.1551	2.5998	2.2555	1.101	2.4276	4	1.1429
Gm24879	0.9471	0.8254	0.5753	1.2815	0.8862	0.9284	4	1.143
Blnk	1.4249	1.7887	2.2299	1.9146	1.6068	2.0722	4	1.143
Gm11688	1.0942	1.4425	0.8351	1.025	1.2684	0.9301	4	1.1434
CT025531.1	1.117	1.6341	0.7251	1.4988	1.3756	1.1119	4	1.1439
Arhgap20os	1.3294	1.2648	2.364	2.4122	1.2971	2.3881	4	1.1441
Gm22475	0.8953	0.8813	0.6069	1.1884	0.8883	0.8977	4	1.1442
AC113304.1	0.1865	0.2327	1.4834	1.263	0.2096	1.3732	4	1.1442
Gm14262	0.5666	0.9084	2.6229	2.1306	0.7375	2.3768	4	1.1445
Gm24161	0.8123	0.9613	0.6369	1.129	0.8868	0.8829	4	1.1448
AC124399.1	1.6938	1.6178	1.4834	1.1493	1.6558	1.3163	4	1.1449
Gm15203	0.2702	0.7364	0.7536	1.9377	0.5033	1.3457	4	1.145
Htr3a	0.6951	0.6425	2.5117	2.2916	0.6688	2.4017	4	1.1452
Bloc1s2-ps	1.2271	1.3265	2.4354	2.3618	1.2768	2.3986	4	1.1453
Gm37014	1.0942	1.0122	2.6533	2.1702	1.0532	2.4118	4	1.1454
Gm45332	0.8408	0.8254	2.4782	2.4367	0.8331	2.4574	4	1.1456
Gm9005	0.3505	0.4709	1.1217	2.3702	0.4107	1.7459	4	1.1457
Gm22069	0.8123	0.542	2.6154	2.0479	0.6772	2.3317	4	1.1458
Gm44695	0.4626	0.9613	0.6672	1.263	0.7119	0.9651	4	1.1461
Gm12093	1.5988	1.6821	1.0772	1.4356	1.6405	1.2564	4	1.1462
Gm26964	0.7251	0.9613	0.6369	1.1493	0.8432	0.8931	4	1.1462
Gm44485	0.229	0.6425	0.8082	1.903	0.4357	1.3556	4	1.1462
Gm14103	0.5331	0.434	2.4265	2.1603	0.4835	2.2934	4	1.1463
Gm44251	0.3885	0.4709	2.2889	2.2645	0.4297	2.2767	4	1.1465
S100a3	1.7088	1.7887	1.4147	1.6323	1.7488	1.5235	4	1.1467
9630028H03Rik	0.3505	0.6098	2.2693	2.3533	0.4801	2.3113	4	1.1469
Gm10563	0.8408	0.987	0.8608	0.8408	0.9139	0.8508	4	1.1471
Gm45278	0.7553	0.9613	2.5445	2.3618	0.8583	2.4531	4	1.1473
Hsd17b2	1.3874	2.0058	1.6875	1.9377	1.6966	1.8126	4	1.1477
Gm37997	0.5666	0.5763	2.4	2.3445	0.5714	2.3723	4	1.1477
Gm43105	0.7251	1.0614	2.6608	2.1506	0.8933	2.4057	4	1.1478
Clca3a2	1.8258	1.6663	1.7163	1.5296	1.746	1.623	4	1.1478
AC122484.1	0.8679	0.9613	0.8082	0.8891	0.9146	0.8486	4	1.1478
Slc25a31	0.7251	0.8536	0.6672	1.109	0.7893	0.8881	4	1.1479
5033423K11Rik	0.6951	0.7058	2.6076	2.1702	0.7004	2.3889	4	1.1481
Gm13539	0.4265	0.9084	2.4782	2.2827	0.6675	2.3805	4	1.1482
Ccl11	1.4249	1.3465	2.3912	2.2827	1.3857	2.337	4	1.1483
Gm22456	1.2479	1.2004	2.4867	2.3445	1.2242	2.4156	4	1.1484
Gm12263	1.3294	1.0854	2.5281	2.2645	1.2074	2.3963	4	1.1484
Mir7664	1.5489	1.3063	1.1641	0.913	1.4276	1.0386	4	1.1485
B130024G19Rik	0.3115	0.7058	2.4	2.2182	0.5086	2.3091	4	1.1487
2500002B13Rik	1.6313	1.5504	1.0996	1.2259	1.5909	1.1628	4	1.1492
Mdrl	1.2479	1.5155	0.6672	1.7803	1.3817	1.2238	4	1.1492
Krt72	0.5331	0.542	2.5117	2.1306	0.5375	2.3212	4	1.1494
AL593843.1	1.5489	1.037	1.0086	0.959	1.293	0.9838	4	1.1497
Gm26873	1.0468	0.7364	0.6672	1.129	0.8916	0.8981	4	1.1499
Gm15729	1.6313	1.2857	0.8351	1.3857	1.4585	1.1104	4	1.1502
9530056K15Rik	1.5489	1.4425	0.8867	1.2815	1.4957	1.0841	4	1.1502
Gm18958	0.1865	0.6745	2.2299	2.2645	0.4305	2.2472	4	1.1503
Gm5757	0.229	0.6425	0.7816	1.7933	0.4357	1.2874	4	1.1503
Gm12463	1.5145	1.3063	2.3454	2.2827	1.4104	2.3141	4	1.1504
Gm45155	1.7088	1.8032	1.8135	1.715	1.756	1.7643	4	1.1504
Cfap44	1.7242	1.7887	1.7587	1.8184	1.7564	1.7886	4	1.1505
n-R5s76	1.1622	1.037	0.6069	1.2259	1.0996	0.9164	4	1.1505
AC167973.1	0.8953	1.1551	2.4441	2.4847	1.0252	2.4644	4	1.1506
Gm11959	1.0704	0.7958	2.5998	2.2555	0.9331	2.4276	4	1.1509
Gm22793	0.6323	0.8536	2.3912	2.4924	0.7429	2.4418	4	1.151
Gm24022	1.3488	1.2857	0.7251	1.2073	1.3172	0.9662	4	1.151
Gm43608	0.7553	0.9084	2.6976	2.0796	0.8319	2.3886	4	1.1512
Gm42993	0.6645	0.987	0.6672	1.109	0.8257	0.8881	4	1.1513
2900069G24Rik	0.4626	1.109	2.5281	2.237	0.7858	2.3825	4	1.1516
Gm7890	0.8408	0.8813	0.8351	0.8655	0.861	0.8503	4	1.1518
Gm23148	1.4967	1.5331	1.2259	0.959	1.5149	1.0925	4	1.1519
AC156631.1	0.6951	0.9084	2.4952	2.4122	0.8018	2.4537	4	1.1523
C8b	0.6003	0.542	2.364	2.3871	0.5711	2.3755	4	1.1524
Gm13670	0.7553	0.7058	2.2889	2.5758	0.7305	2.4324	4	1.1527
Sectm1b	1.0229	1.0614	2.6457	2.2182	1.0422	2.4319	4	1.1528
Gm38192	0.9731	0.987	0.5753	1.2259	0.98	0.9006	4	1.1531
Snora5c	1.5316	1.2648	0.9123	1.0881	1.3982	1.0002	4	1.1533
Gm11559	0.1865	0.5069	1.4494	0.959	0.3467	1.2042	4	1.1535
Gm25226	0.3885	0.7364	0.8608	2.3185	0.5624	1.5896	4	1.1536
Mir3105	0.5666	0.6745	2.5117	2.2645	0.6205	2.3881	4	1.1539
Klk1b4	0.5666	0.434	2.4526	2.1603	0.5003	2.3064	4	1.154
Lce3b	0.1414	0.275	1.7862	2.1306	0.2082	1.9584	4	1.154
Rhoh	1.4967	1.2648	0.7536	1.2992	1.3808	1.0264	4	1.1543
Gm23939	0.8679	0.6098	0.5753	1.419	0.7388	0.9972	4	1.1544
Gm38142	0.3885	0.4709	0.7536	1.5597	0.4297	1.1567	4	1.1545
Gm22232	0.5331	0.7958	0.6069	1.369	0.6644	0.988	4	1.1545
Gm26888	1.6938	1.8319	1.6126	1.545	1.7628	1.5788	4	1.1547
Gm16209	0.8408	1.109	0.8082	0.8891	0.9749	0.8486	4	1.1549
Pde6g	1.9203	1.5155	1.4319	1.5893	1.7179	1.5106	4	1.155
Pgc	0.9731	0.9613	2.4867	2.4607	0.9672	2.4737	4	1.1553
Meikin	0.229	0.3573	1.4834	1.025	0.2931	1.2542	4	1.1553
Cybb	0.8408	1.0122	0.4772	1.7018	0.9265	1.0895	4	1.1554
Gm25788	0.7841	1.0854	0.8351	0.8655	0.9348	0.8503	4	1.1554
Gm19863	0.6951	0.8254	2.5281	2.3618	0.7602	2.4449	4	1.1558
Gm43413	1.4792	1.109	0.8608	1.0461	1.2941	0.9535	4	1.156
Gm44745	0.4626	0.2327	2.364	1.8184	0.3476	2.0912	4	1.156
CT572999.3	0.2702	0.4709	2.4	1.9264	0.3706	2.1632	4	1.1561
Lmntd1	1.3874	1.461	2.4952	2.069	1.4242	2.2821	4	1.1563
Gm14798	0.7553	0.9351	1.3606	2.8003	0.8452	2.0805	4	1.1564
Gm4779	0.4265	0.3161	0.8608	1.9146	0.3713	1.3877	4	1.1565
Gm15566	0.4626	0.6425	2.5281	2.1405	0.5525	2.3343	4	1.1565
Olfr70	0.6003	0.8536	2.4782	2.3956	0.7269	2.4369	4	1.1566
Gm43764	0.8953	0.9351	2.5685	2.3618	0.9152	2.4651	4	1.1566
Cnga3	0.6645	1.0854	2.6076	2.2461	0.875	2.4269	4	1.1569
Ush1c	0.7553	1.0854	2.6608	2.1798	0.9204	2.4203	4	1.157
Gm27490	0.229	0.4709	1.517	2.4529	0.3499	1.9849	4	1.157
Gm4952	0.9731	0.9084	2.6229	2.2738	0.9407	2.4484	4	1.1571
A630012P03Rik	0.3505	0.5763	0.7536	1.9716	0.4634	1.3626	4	1.1573
Gm44442	0.6951	0.7364	2.5281	2.336	0.7157	2.432	4	1.1573
Mir1933	0.6645	0.7364	0.6069	1.2815	0.7004	0.9442	4	1.1576
Gm7419	0.2702	0.7958	2.2792	2.3702	0.533	2.3247	4	1.1578
Evi5	1.5821	1.9146	1.6727	1.4834	1.7483	1.578	4	1.1579
Gm26939	0.1414	0.3573	1.1217	1.4027	0.2494	1.2622	4	1.1579
Vmn2r7	0.1414	0.3573	1.1217	1.4027	0.2494	1.2622	4	1.1579
Gm22067	1.0704	0.9613	0.6069	1.1686	1.0158	0.8878	4	1.1584
Fam122c	0.229	0.6425	0.8082	1.9605	0.4357	1.3843	4	1.1584
Gm15736	1.8396	1.1322	2.1683	2.1104	1.4859	2.1393	4	1.1585
Gm25409	0.7841	0.7364	2.5281	2.3618	0.7602	2.4449	4	1.1585
Gm32592	0.4265	0.8254	2.373	2.4122	0.626	2.3926	4	1.1585
Gm12288	0.4988	0.542	2.5033	2.1405	0.5204	2.3219	4	1.1587
Gm9785	0.8123	0.987	0.4772	1.6323	0.8996	1.0547	4	1.1587
Tspan8	1.4615	1.9146	1.8659	2.0587	1.688	1.9623	4	1.159
Gm27700	0.7841	0.542	2.5842	2.1506	0.663	2.3674	4	1.1591
Gm24612	0.4988	0.5069	2.4	2.2738	0.5028	2.3369	4	1.1592
Gm43838	1.7685	1.6821	1.342	1.4515	1.7253	1.3968	4	1.1594
Palld	1.6313	1.3663	1.0772	1.0676	1.4988	1.0724	4	1.1594
Gm13541	0.4626	0.189	0.9613	1.4678	0.3258	1.2145	4	1.1595
Gm37772	1.6785	1.6663	1.0996	1.5296	1.6724	1.3146	4	1.1596
Il9	0.4626	0.6098	2.373	2.3533	0.5362	2.3631	4	1.1596
Gm24217	0.2702	0.0976	1.3231	1.4988	0.1839	1.4109	4	1.1598
Gm26197	0.5331	0.7058	2.5281	2.2461	0.6194	2.3871	4	1.1598
A630014C17Rik	1.6471	1.4049	2.3268	2.0796	1.526	2.2032	4	1.1599
C730045M19Rik	0.8408	1.0122	0.6672	1.0461	0.9265	0.8567	4	1.1599
Slc16a5	1.0704	1.2437	2.4867	2.4122	1.157	2.4495	4	1.16
Capn8	1.206	1.4977	2.373	2.3618	1.3519	2.3674	4	1.1603
Gm11990	0.4626	0.8536	2.4265	2.3871	0.6581	2.4068	4	1.1604
Gm4995	0.3885	0.6425	1.2461	2.583	0.5155	1.9146	4	1.1605
Gm7688	1.7974	1.7442	1.6126	1.7286	1.7708	1.6706	4	1.1605
B230207O21Rik	0.6645	1.109	0.8351	0.8891	0.8868	0.8621	4	1.1608
B230398E01Rik	0.7553	0.9613	0.7816	0.913	0.8583	0.8473	4	1.1608
Gm24836	1.754	1.7887	1.6875	1.6182	1.7714	1.6529	4	1.1608
Gm42965	1.1622	1.7133	2.4782	1.903	1.4377	2.1906	4	1.1609
Slc24a5	1.5489	1.9011	1.5003	1.369	1.725	1.4347	4	1.161
Gm7073	0.0963	0.4709	1.0086	1.545	0.2836	1.2768	4	1.1611
Gm5453	0.8408	1.2004	0.6369	1.129	1.0206	0.8829	4	1.1612
Gm13371	0.6323	0.9351	2.4699	2.4367	0.7837	2.4533	4	1.1613
Spint3	0.3885	0.434	2.308	2.237	0.4112	2.2725	4	1.1614
Gm38053	0.9214	0.7058	0.9855	0.7655	0.8136	0.8755	4	1.1614
Eppin	0.4626	0.7058	2.4526	2.3095	0.5842	2.381	4	1.1614
Gm30652	0.3885	0.3573	2.2693	2.1991	0.3729	2.2342	4	1.1615
Gm44793	1.4249	1.0614	0.8867	0.959	1.2432	0.9229	4	1.1616
Traj61	0.7251	0.6098	2.4613	2.3788	0.6674	2.42	4	1.1617
Olfr96	0.0963	0.275	1.2259	1.7416	0.1856	1.4837	4	1.1619
Gm11642	1.4249	1.2222	2.6229	1.9146	1.3236	2.2687	4	1.162
Btnl5-ps	0.2702	0.5069	2.409	1.9939	0.3886	2.2014	4	1.1623
9230009I02Rik	0.3115	0.6098	2.4441	2.1104	0.4606	2.2773	4	1.1623
Gm20539	0.3115	0.7058	2.4265	2.2088	0.5086	2.3177	4	1.1625
Tceal7	1.2479	1.2437	1.1641	2.6686	1.2458	1.9164	4	1.1626
Gm11621	0.0963	0.3573	1.1427	1.4834	0.2268	1.3131	4	1.1628
Nme8	0.9214	0.8536	2.5363	2.4038	0.8875	2.4701	4	1.1629
Gm26085	0.8408	1.2004	2.409	2.5233	1.0206	2.4661	4	1.1632
Lcn10	0.5331	1.1322	2.5605	2.2555	0.8327	2.408	4	1.1633
Gm28721	0.8679	1.0854	2.5281	2.4203	0.9767	2.4742	4	1.1633
Gm15019	0.3115	0.5069	1.0321	2.3185	0.4092	1.6753	4	1.1633
Gm17056	1.4967	1.3063	0.7816	1.2449	1.4015	1.0132	4	1.1635
Gm42105	1.6938	1.774	1.7307	1.3346	1.7339	1.5327	4	1.1636
Gm15607	1.4792	1.1322	0.8351	1.0676	1.3057	0.9514	4	1.1641
Mir6404	0.3885	0.542	2.4265	2.1798	0.4652	2.3032	4	1.1642
Dgcr6	1.3685	1.6821	2.308	2.1506	1.5253	2.2293	4	1.1644
AC102312.1	1.8941	1.5845	1.7999	1.8184	1.7393	1.8092	4	1.1644
Gm22904	1.3685	1.4425	2.4699	2.1798	1.4055	2.3249	4	1.1644
Gm45743	1.117	1.2437	2.4699	2.4287	1.1803	2.4493	4	1.1652
9430034N14Rik	0.7251	1.0614	0.6069	1.1686	0.8933	0.8878	4	1.1652
Gm38331	0.7251	1.0122	0.6369	1.109	0.8686	0.873	4	1.1655
Gm25338	1.0942	0.8813	0.8082	0.8891	0.9878	0.8486	4	1.1656
Olfr322	0.0482	0.3962	1.1641	1.4988	0.2222	1.3315	4	1.1657
1110002O04Rik	1.4065	1.5845	2.3912	2.1207	1.4955	2.256	4	1.166
Rpl21-ps4	0.1865	0.2327	1.2054	1.419	0.2096	1.3122	4	1.166
Gm11634	0.6645	0.7664	2.6076	2.2274	0.7154	2.4175	4	1.1661
Gm42619	0.8123	0.8536	2.4867	2.4607	0.8329	2.4737	4	1.1662
4930518J21Rik	0.0963	0.3161	1.6727	1.2073	0.2062	1.44	4	1.1662
Platr9	0.7251	0.5763	2.5524	2.237	0.6507	2.3947	4	1.1663
Gm22471	0.7841	1.037	2.683	2.1702	0.9106	2.4266	4	1.1664
AC159819.1	0.9731	0.6745	2.6229	2.2088	0.8238	2.4159	4	1.1665
Cxcl11	0.6951	0.7058	2.4265	2.4607	0.7004	2.4436	4	1.1666
Snord69	1.5988	1.2857	0.9613	1.0881	1.4423	1.0247	4	1.1669
Gm22117	1.1401	1.2004	2.4782	2.4287	1.1703	2.4534	4	1.1669
Gm24191	1.0229	0.9351	0.543	1.2815	0.979	0.9123	4	1.1669
Gm9497	0.6003	0.434	2.3363	2.3618	0.5171	2.349	4	1.1671
Gm37493	1.6149	1.6978	1.342	1.1493	1.6564	1.2456	4	1.1672
AC124687.5	0.4626	0.8536	2.5281	2.2645	0.6581	2.3963	4	1.1672
4732490B19Rik	1.4792	1.1322	2.4867	2.2274	1.3057	2.3571	4	1.1673
C430002N11Rik	1.8671	1.6663	1.5969	1.7018	1.7667	1.6494	4	1.1674
Gm25986	0.7841	1.1551	0.7251	0.9811	0.9696	0.8531	4	1.1675
Gm38364	0.6003	0.8536	0.543	1.4356	0.7269	0.9893	4	1.1677
Gm20755	1.3294	1.4238	2.2497	2.4766	1.3766	2.3632	4	1.1679
Gm37661	0.229	0.434	0.8867	1.5145	0.3315	1.2006	4	1.168
Gm3103	0.7251	0.6098	2.2792	2.561	0.6674	2.4201	4	1.1681
1700044C05Rik	1.184	1.4238	2.5033	2.2738	1.3039	2.3886	4	1.1682
Gm37423	1.3488	1.3857	0.6969	1.2992	1.3673	0.9981	4	1.1686
Gm16027	0.9978	1.037	2.6154	2.3095	1.0174	2.4624	4	1.1686
Fmo9	0.1865	0.275	1.0772	1.5597	0.2308	1.3185	4	1.1689
1700112J05Rik	1.754	1.8032	1.5811	1.6466	1.7786	1.6139	4	1.1691
Lep	0.6323	0.5763	2.5842	2.1405	0.6043	2.3623	4	1.1694
Gm3454	0.4265	0.3573	0.7816	1.6041	0.3919	1.1928	4	1.1695
Snora2b	0.9214	0.9613	0.6672	1.025	0.9413	0.8461	4	1.1696
Gm11948	1.117	0.7664	0.8082	0.913	0.9417	0.8606	4	1.1696
Gpr165	1.4792	1.3857	1.1852	2.5233	1.4325	1.8543	4	1.1697
Gm5398	0.2702	0.7058	0.6969	1.6604	0.488	1.1786	4	1.17
Gm22144	0.3505	0.542	0.7251	1.5145	0.4463	1.1198	4	1.1704
Gm38320	1.959	1.4425	1.8918	1.7803	1.7008	1.8361	4	1.1705
Gm22573	1.0229	1.1322	0.6969	1.0036	1.0776	0.8502	4	1.1709
Gm25556	0.8408	0.9084	0.7816	0.8891	0.8746	0.8353	4	1.171
Gm23042	1.206	1.0854	2.5685	2.3185	1.1457	2.4435	4	1.171
Bglap3	1.5489	1.2222	0.7816	1.2449	1.3856	1.0132	4	1.1711
Gm42913	1.0942	1.037	0.6069	1.1493	1.0656	0.8781	4	1.1711
Mir99a	0.9214	0.9613	0.6969	0.9811	0.9413	0.839	4	1.1713
Gm37072	0.9471	1.3663	0.8608	0.8891	1.1567	0.8749	4	1.1714
Junos	1.5316	1.3663	2.2792	2.3445	1.4489	2.3119	4	1.1715
Gm15196	0.4988	0.5763	0.6672	2.005	0.5375	1.3361	4	1.1716
Mir6337	0.5666	0.5763	2.5605	2.1506	0.5714	2.3555	4	1.1719
5930420M18Rik	1.0704	0.8813	0.6069	1.1493	0.9758	0.8781	4	1.172
Cntn6	1.2892	1.1551	0.9613	0.8164	1.2222	0.8888	4	1.1724
Gm27624	1.6471	1.5675	0.9855	1.3857	1.6073	1.1856	4	1.1724
Gm28305	0.9978	1.0854	0.6069	1.129	1.0416	0.8679	4	1.1727
Gigyf1	1.5656	1.6012	1.0552	1.1884	1.5834	1.1218	4	1.1727
Gm22231	0.9731	1.1322	0.8082	0.8655	1.0527	0.8369	4	1.1729
Klk14	0.4265	0.6745	2.4441	2.3007	0.5505	2.3724	4	1.1735
1700063H04Rik	1.4792	1.9146	2.0817	1.7416	1.6969	1.9116	4	1.1735
Gm14979	0.1865	0.542	0.8351	1.5748	0.3643	1.205	4	1.1737
Gm25311	1.5145	1.3265	0.8082	1.2073	1.4205	1.0077	4	1.174
Ccdc153	0.9471	1.109	2.6608	2.237	1.0281	2.4489	4	1.1741
Gm28166	0.8953	1.0122	2.5281	2.4447	0.9538	2.4864	4	1.1744
Gm26487	0.3115	0.542	0.7816	1.9939	0.4268	1.3877	4	1.1744
Gm37621	0.4988	1.037	0.7251	1.0676	0.7679	0.8964	4	1.1746
